Mã tin,Loại BĐS,Khu vực,Địa chỉ,Diện tích (m2),Pháp lý,Giá (tỷ),Lộ giới (m),Số lầu,Số phòng ngủ,Số điện thoại liên hệ,Link truy cập
4862134,"Nhà ngõ, hẻm",Tây Nguyên," Thành phố Buôn Ma Thuột, Đắk Lắk",89.0,Chưa Xác Định,3.5,0.0,0,0,0704.047.000,https://i-batdongsan.com/-ban-nha-lau-dep-hem-an-duong-vuong-5x18m-gia-3ty5-trung-tam-thanh-pho-4862134.html
4647120,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",184.0,Sổ hồng/ Sổ đỏ,11.0,8.0,1,2,0909.822.610,https://i-batdongsan.com/dt-khung-gan-200m2-ngang-be-the-7m-tien-xay-bt-vp-chi-11-ty-50tr-m2-ngay-tt-q-12-4647120.html
4614932,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",93.0,Sổ hồng/ Sổ đỏ,6.4,10.0,2,4,0909.822.610,https://i-batdongsan.com/gia-soc-ban-gap-nha-4-tang-dep-lung-linh-hxt-song-hanh-an-suong-chi-6-ty-800--4614932.html
4725990,"Nhà hàng, khách sạn",Hà Nội," Quận Hai Bà Trưng, Hà Nội",210.0,Sổ hồng/ Sổ đỏ,95.0,30.0,13,30,0904.216.450,https://i-batdongsan.com/-ban-toa-nha-khach-san-mat-pho-bui-thi-xuan-hai-ba-trung-120m2-13t-mt-5-1m-chi-74-ty-4725990.html
4717765,Đất,Hà Nội," Huyện Hoài Đức, Hà Nội",65.0,Sổ hồng/ Sổ đỏ,2.0,4.0,0,0,0914.773.359,https://i-batdongsan.com/ban-manh-dat-van-minh-di-trach-mat-tien-4-5-m-so-dep-san-sang-sang-ten-gia-chi-2-ty-4717765.html
4479473,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",220.0,Sổ hồng/ Sổ đỏ,47.0,10.0,8,6,0912.923.523,https://i-batdongsan.com/ban-nha-pho-nui-truc-quan-ba-dinh-220m-8-tang-thang-may-gia-47-ty--4479473.html
4812506,Nhà mặt tiền,Hồ Chí Minh," Quận 12, Hồ Chí Minh",53.0,Sổ hồng/ Sổ đỏ,5.7,12.0,3,4,0909.822.610,https://i-batdongsan.com/ban-nha-4-tang-mat-tien-kd-khu-cho-tmt13-trung-my-tay-q-12-chi-5-ty-nhinh--4812506.html
4718127,"Nhà ngõ, hẻm",Hà Nội," Quận Đống Đa, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,15.0,15.0,5,3,0911.214.718,https://i-batdongsan.com/-ban-nha-phan-lo-pho-tran-quang-dieu-dong-da-50m2-5t-mt-4-2m-chi-15-ty--4718127.html
4469916,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",30.0,Sổ hồng/ Sổ đỏ,2.95,3.0,5,3,0976.188.946 / 0369.172.994,https://i-batdongsan.com/ngo-ba-gac-o-to-cach-nha-50m-tien-ich-khu-vuc-day-du-tang-full-noi-that-4469916.html
4756610,"Nhà ngõ, hẻm",Hà Nội," Quận Đống Đa, Hà Nội",44.0,Sổ hồng/ Sổ đỏ,4.25,2.5,4,3,0868.298.893,https://i-batdongsan.com/nha-tuyen-lo-goc-lang-ha-nong-thang-tap-thong-kd-nho-44m2-4t-4-25-ty-4756610.html
4842448,Nhà mặt tiền,Tây Nguyên," Thành phố Buôn Ma Thuột, Đắk Lắk",146.0,Chưa Xác Định,7.6,0.0,0,0,0704.047.000,https://i-batdongsan.com/-ban-nha-mat-tien-pham-ngu-lao-7-3x20-p-thanh-cong-gia-7ty6-4842448.html
4861152,"Nhà ngõ, hẻm",Hà Nội," Quận Thanh Xuân, Hà Nội",36.0,Sổ hồng/ Sổ đỏ,4.0,3.0,5,4,0944.723.177,https://i-batdongsan.com/-ban-gap-nha-moi-tran-phu-kdt-van-quan-5-tang-4-ty-hang-mini-4861152.html
4444025,Nhà mặt tiền,Hồ Chí Minh," Quận Tân Bình, Hồ Chí Minh",61.0,Sổ hồng/ Sổ đỏ,7.4,10.0,4,5,0917.166.979,https://i-batdongsan.com/-tan-binh-ban-nha-mat-tien-no-hau-tan-tru-phuong-15-61m2-5tang-7-5ty--4444025.html
4555781,Biệt thự,Hà Nội," Quận Hà Đông, Hà Nội",110.0,Sổ hồng/ Sổ đỏ,27.5,22.0,5,4,0944.723.177,https://i-batdongsan.com/ban-can-nha-cho-thue-dong-tien-7-tang-12-phong-khep-kin-gia-chi-4-9-ty-4555781.html
3936104,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",79.0,Sổ hồng/ Sổ đỏ,6.2,3.0,2,4,0909.822.610,https://i-batdongsan.com/ban-nha-3-tang-phan-huy-ich-quang-trung-chi-6-2-ty--3936104.html
4868486,"Nhà ngõ, hẻm",Hà Nội," Quận Hà Đông, Hà Nội",36.0,Sổ hồng/ Sổ đỏ,4.98,3.0,5,3,0944.723.177,https://i-batdongsan.com/-sieu-pham-5-tang-4-ngu-full-nt-cach-cho-hd-50m-6-8-ty-0988183187-4868486.html
4749651,Nhà mặt tiền,Hà Nội," Quận Tây Hồ, Hà Nội",140.0,Sổ hồng/ Sổ đỏ,75.8,30.0,5,5,0868.085.263,https://i-batdongsan.com/hot-nha-mat-pho-lac-long-quan-140m2-5t-mat-tien-15m-lo-goc-he-5m-kd-dinh-75-8-ty--4749651.html
4788045,"Nhà ngõ, hẻm",Tây Nguyên," Thành phố Buôn Ma Thuột, Đắk Lắk",148.0,Chưa Xác Định,1.9,0.0,0,0,0704.047.000,https://i-batdongsan.com/-ha-gia-2ty3-con-2ty1-nha-y-ngong-nha-hem-12m-y-ngong-2ty1-p-tan-tien--4788045.html
4837010,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",82.0,Sổ hồng/ Sổ đỏ,6.28,4.0,1,3,0917.166.979,https://i-batdongsan.com/-go-vap-ban-gap-nha-hxh-duong-so-20-duong-quang-ham-82m2-3tang-6-3ty--4837010.html
4838136,"Nhà ngõ, hẻm",Hà Nội," Quận Nam Từ Liêm, Hà Nội",54.0,Sổ hồng/ Sổ đỏ,4.25,3.5,4,4,0939.286.833,https://i-batdongsan.com/cuc-hiem-ban-nha-le-quang-dao-phu-do-54m2-4-tang-ngo-nong-thoang-chi-voi-4-ty-4838136.html
4763626,Văn phòng,Hà Nội," Quận Đống Đa, Hà Nội",112.0,Sổ hồng/ Sổ đỏ,45.0,20.0,9,20,0904.641.162,https://i-batdongsan.com/-toa-van-phong-mat-pho-nguyen-phuc-lai-dong-da-112m2-9t-mt-8m-chi-45-ty--4763626.html
4524254,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",30.0,Sổ hồng/ Sổ đỏ,1.6,3.0,3,2,0976.188.946 / 0369.172.994,https://i-batdongsan.com/vinh-hung-hoang-mai-chi-1-6-ty-so-rieng-3-tang-4524254.html
4288071,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",68.0,Sổ hồng/ Sổ đỏ,19.0,12.0,5,3,0944.723.177,https://i-batdongsan.com/ban-nha-to-hieu-ha-dong-chi-4-5-ty-co-nha-5-tang-0988183187-4288071.html
4769651,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",52.0,Sổ hồng/ Sổ đỏ,3.5,3.0,5,4,0979.999.868,https://i-batdongsan.com/gia-soc-chi-67tr-m2-so-huu-nha-5-tang-moi-koong-thanh-am-52m2-mt-4-5m-nhinh-3-ty-4769651.html
4058576,Nhà mặt tiền,Hồ Chí Minh," Quận 12, Hồ Chí Minh",91.0,Sổ hồng/ Sổ đỏ,10.2,15.0,3,4,0909.822.610,https://i-batdongsan.com/gap-ban-re-nha-hai-mat-tien-kd-5x18m-4-tang-nguyen-anh-thu-tan-chanh-hiep--4058576.html
4556672,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",32.0,Giấy tờ hợp lệ,1.65,3.0,2,2,0976.188.946 / 0369.172.994,https://i-batdongsan.com/nha-dep-tan-khai-vinh-hung-hoang-mai-ve-o-ngay-khong-gian-yen-tinh-hang-xom-than-4556672.html
4432524,Biệt thự,Hà Nội," Quận Hà Đông, Hà Nội",120.0,Sổ hồng/ Sổ đỏ,19.8,24.0,10,46,0944.723.177,https://i-batdongsan.com/nha-phan-lo-ngo-quyen-47m2-4-tang-mat-tien-3-3m-gia-chi-3-9-ty-0944723177-4432524.html
4421816,Đất,Hà Nội," Quận Tây Hồ, Hà Nội",100.0,Sổ hồng/ Sổ đỏ,31.5,30.0,1,3,0974.473.300,https://i-batdongsan.com/-ban-nha-dat-mat-pho-trich-sai-view-ho-tay-100m2-c4-mt-6-7m-via-he-kd-chi-31-5-ty-4421816.html
4680887,"Nhà ngõ, hẻm",Hà Nội," Quận Long Biên, Hà Nội",42.0,Sổ hồng/ Sổ đỏ,6.7,3.0,6,4,0979.999.868,https://i-batdongsan.com/nha-dep-o-ngay-pho-hong-tien-ngo-o-to-full-noi-that-dt-42m2-x-6t-mt-3-5m-nhinh-6-ty-4680887.html
4789723,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",90.0,Sổ hồng/ Sổ đỏ,5.6,6.0,1,8,0909.822.610,https://i-batdongsan.com/gap-ban-giam-soc-chi-con-5-6-ty-nha-5x18m-duong-phan-van-hon-hxh--4789723.html
4629155,Văn phòng,Hà Nội," Quận Tây Hồ, Hà Nội",445.0,Sổ hồng/ Sổ đỏ,180.0,30.0,12,24,0902.254.191,https://i-batdongsan.com/-ban-toa-van-phong-12-tang-mat-pho-xuan-la-tay-ho-445m2-mt-15m-chi-318-ty--4629155.html
4252814,"Nhà ngõ, hẻm",Hà Nội," Quận Đống Đa, Hà Nội",55.0,Sổ hồng/ Sổ đỏ,16.5,15.0,5,4,0974.473.300,https://i-batdongsan.com/-sieu-pham-dong-da-o-to-tranh-kinh-doanh-55m2-5t-long-lay-chi-16-5-ty--4252814.html
4507861,"Nhà ngõ, hẻm",Hà Nội," Quận Hai Bà Trưng, Hà Nội",30.0,Sổ hồng/ Sổ đỏ,2.4,2.0,3,2,0976.188.946 / 0369.172.994,https://i-batdongsan.com/-nhinh-2-ty-tran-khat-chan-3-tang-o-tam-ve-o-duoc-ngay-4507861.html
4821691,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",50.0,Sổ hồng/ Sổ đỏ,4.65,6.0,2,3,0917.166.979,https://i-batdongsan.com/-q-12-ban-gap-nha-dep-khu-phan-lo-duong-12m-thanh-xuan52-50m2-3tang-4-65ty--4821691.html
4486713,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",37.0,Sổ hồng/ Sổ đỏ,2.7,2.5,3,3,0976.188.946 / 0369.172.994,https://i-batdongsan.com/nha-dep-nguyen-khoai-o-ngay-day-du-cong-nang-thoang-truoc-sau-gan-o-to-anh-that-100--4486713.html
4814655,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,12.5,4.0,7,4,0944.723.177,https://i-batdongsan.com/-ban-toa-nha-mat-pho-ha-dong-7-tang-thang-may-12-5-ty-lh-0988183187-4814655.html
4769589,Nhà mặt tiền,Hà Nội," Quận Tây Hồ, Hà Nội",125.0,Sổ hồng/ Sổ đỏ,19.8,5.0,2,6,0565.058.068,https://i-batdongsan.com/sieu-hiem-ban-nha-pho-vu-mien-tay-ho-125m2-mt-9m-lo-goc-view-thoang-19-8-ty--4769589.html
4842417,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",74.0,Sổ hồng/ Sổ đỏ,8.3,0.0,3,5,0937.099.054,https://i-batdongsan.com/ban-nha-phan-huy-ich-phuong-12-go-vap-hem-o-to-8m-74m2-4-6x16-4-tang-gia-8-ty-nhinh-4842417.html
4747169,Nhà mặt tiền,Hồ Chí Minh," Huyện Hóc Môn, Hồ Chí Minh",125.0,Sổ hồng/ Sổ đỏ,9.0,20.0,1,4,0909.822.610,https://i-batdongsan.com/73tr-m2-mat-tien-tran-van-muoi-vai-buoc-ra-cho-dong-hai-gia-re-chi-9-ty--4747169.html
4837725,Nhà mặt tiền,Hồ Chí Minh," Quận 12, Hồ Chí Minh",64.0,Sổ hồng/ Sổ đỏ,5.28,8.0,3,4,0917.166.979,https://i-batdongsan.com/-q-12-ban-gap-nha-mat-tien-dep-duong-so-ha-huy-giap-64m2-4tang-5-28ty--4837725.html
4626105,Nhà mặt tiền,Hồ Chí Minh," Quận 12, Hồ Chí Minh",60.0,Sổ hồng/ Sổ đỏ,8.49,15.0,1,2,0909.822.610,https://i-batdongsan.com/mat-tien-kd-nguyen-van-qua-gan-to-ky-cho-cau-chi-8-ty-490--4626105.html
4320413,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",38.0,Sổ hồng/ Sổ đỏ,3.0,3.5,5,6,0352.306.767 / 0369.172.994,https://i-batdongsan.com/ban-nha-hung-phuc-quan-hoang-mai-4320413.html
4769737,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",85.0,Sổ hồng/ Sổ đỏ,22.8,8.0,8,6,0565.058.068,https://i-batdongsan.com/cuc-pham-mat-pho-dong-cac-85m2-8t-thang-may-lo-goc-3-thoang-kd-sam-uat-gia-22-8-ty--4769737.html
4468851,Đất,Hà Nội," Quận Ba Đình, Hà Nội",165.0,Sổ hồng/ Sổ đỏ,54.0,30.0,1,3,0983.630.136,https://i-batdongsan.com/-ban-nha-dat-mat-pho-doc-ngu-ba-dinh-165m2-2t-mt-8-5m-doi-dien-bv-354-chi-54-ty--4468851.html
4729953,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Tân Bình, Hồ Chí Minh",78.0,Sổ hồng/ Sổ đỏ,6.2,5.0,3,4,0939.557.468 / 0868.689.086,https://i-batdongsan.com/nha-gia-re-huynh-van-nghe-phuong-15-tan-binh-hxh-78m2-3-tang-chi-6-2-ty--4729953.html
4451538,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",35.0,Sổ hồng/ Sổ đỏ,3.25,5.0,5,4,0352.306.767 / 0369.172.994,https://i-batdongsan.com/can-tien-ban-gap-nha-ngo-180-nam-du-quan-hoang-mai-4451538.html
4685484,Nhà mặt tiền,Hồ Chí Minh," Quận 12, Hồ Chí Minh",60.0,Sổ hồng/ Sổ đỏ,8.38,20.0,1,3,0917.166.979,https://i-batdongsan.com/-quan12-ban-nha-mat-tien-vi-tri-tuyet-dep-nguyen-van-qua-60m2-2tang-8-45ty--4685484.html
4836828,Nhà mặt tiền,Duyên Hải Nam Trung Bộ," Quận Liên Chiểu, Đà Nẵng",77.0,Sổ hồng/ Sổ đỏ,4.6,6.0,3,4,0987.901.827,https://i-batdongsan.com/-nha-3-tang-3-me-duong-nguyen-huy-tu-4836828.html
4715813,Nhà mặt tiền,Hà Nội," Quận Thanh Xuân, Hà Nội",130.0,Sổ hồng/ Sổ đỏ,26.5,10.0,7,18,0982.833.366,https://i-batdongsan.com/-ban-toa-van-phong-vip-pho-kim-giang-130m2-7t-mt-8-5m-chi-26-5-ty--4715813.html
4538698,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",32.0,Giấy phép XD,1.7,3.0,2,2,0976.188.946 / 0369.172.994,https://i-batdongsan.com/chinh-chu-ban-nha-linh-nam-hoang-mai-4538698.html
4827476,"Nhà ngõ, hẻm",Hà Nội," Quận Hà Đông, Hà Nội",38.0,Sổ hồng/ Sổ đỏ,4.6,4.0,5,4,0944.723.177,https://i-batdongsan.com/-ban-nha-dong-tien-thu-45tr-thang-6-tang-10-phong-gia-chot-hon-6-ty-lh--4827476.html
4476401,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",40.0,Sổ hồng/ Sổ đỏ,2.2,4.0,4,3,0976.188.946 / 0369.172.994,https://i-batdongsan.com/nha-thuy-linh-o-to-tai-do-cua-thoang-truoc-sau-full-cong-nang-khong-khi-trong-lanh-4476401.html
4839177,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Tân Bình, Hồ Chí Minh",58.0,Sổ hồng/ Sổ đỏ,5.6,4.0,2,3,0917.166.979,https://i-batdongsan.com/-tan-binh-ban-gap-nha-dep-gia-sieu-re-hxh-nguyen-phuc-chu-58m2-3tang-5-6ty--4839177.html
4656902,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",72.0,Sổ hồng/ Sổ đỏ,39.0,30.0,7,18,0904.216.450,https://i-batdongsan.com/-ban-khach-san-7t-mat-pho-nguyen-truong-to-ba-dinh-72m2-mt-4m-18-phong-chi-39-ty--4656902.html
4808302,"Phòng trọ, nhà trọ",Hà Nội," Quận Cầu Giấy, Hà Nội",101.0,Sổ hồng/ Sổ đỏ,16.5,10.0,7,18,0904.641.162,https://i-batdongsan.com/-toa-ccmn-ngo-79-cau-giay-101m2-7t-thang-may-18-phong-xay-moi-150tr-th-chi-16-5-ty--4808302.html
4219370,Biệt thự,Hà Nội," Quận Hà Đông, Hà Nội",130.0,Sổ hồng/ Sổ đỏ,18.5,20.0,4,6,0982.833.366,https://i-batdongsan.com/-biet-thu-pho-ba-trieu-ha-dong-130m2-4t-mt-10m-gia-chi-18-5-ty--4219370.html
4804325,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",95.0,Sổ hồng/ Sổ đỏ,17.0,8.0,5,3,0944.723.177,https://i-batdongsan.com/-ban-nha-dong-tien-9-tang-44-phong-thu-180tr-th-gia-chao-17-5-ty-0988183187-4804325.html
4847368,"Nhà ngõ, hẻm",Tây Nguyên," Thành phố Buôn Ma Thuột, Đắk Lắk",200.0,Chưa Xác Định,2.39,0.0,0,0,0704.047.000,https://i-batdongsan.com/-nha-moi-100-5x40-gia-2ty390-cong-chao-y-wang-cach-trung-tam-dak-lak-5km-4847368.html
4748905,"Nhà ngõ, hẻm",Hà Nội," Quận Đống Đa, Hà Nội",45.0,Sổ hồng/ Sổ đỏ,7.0,4.0,5,4,0943.313.686,https://i-batdongsan.com/ban-nha-5-tang-ngo-59-hoang-cau-o-to-do-cua-dt-45-m2-gia-7-ty-4748905.html
4777743,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",64.0,Sổ hồng/ Sổ đỏ,4.5,0.0,2,4,0937.099.054,https://i-batdongsan.com/pham-van-chieu-duong-51-p-14-go-vap-hem-oto-6m-64m2-4x16-gia-re-4-ty-nhinh-4777743.html
4182942,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,13.5,22.0,7,4,0944.723.177,https://i-batdongsan.com/ban-nha-ha-dong-3-ty-7-47m2-4-tang-4pn-cach-o-to-10m-thong-so-hinh-anh-that-100--4182942.html
4318830,Biệt thự,Hà Nội," Quận Đống Đa, Hà Nội",76.0,Sổ hồng/ Sổ đỏ,17.5,20.0,4,4,0974.473.300,https://i-batdongsan.com/-ban-nha-pho-pham-ngoc-thach-76m2-4t-mt-4m-o-to-nha-dan-dep-chi-17-5-ty--4318830.html
4222633,"Nhà ngõ, hẻm",Hà Nội," Quận Cầu Giấy, Hà Nội",46.0,Sổ hồng/ Sổ đỏ,14.8,15.0,7,5,0937.272.112,https://i-batdongsan.com/-phan-lo-trung-kinh-46m2-7-tang-thang-may-gara-7-cho-so-a4-chi-14-8-ty--4222633.html
4779070,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Tân Phú, Hồ Chí Minh",60.0,Sổ hồng/ Sổ đỏ,6.5,10.0,2,4,0909.822.610,https://i-batdongsan.com/giam-tiep-gia-re-chua-tung-co-nha-4-tang-nguyen-huu-tien-chi-con-6-5-ty--4779070.html
4856164,"Nhà ngõ, hẻm",Tây Nguyên," Thành phố Buôn Ma Thuột, Đắk Lắk",130.0,Chưa Xác Định,1.99,0.0,0,0,0704.047.000,https://i-batdongsan.com/-nha-me-lung-moi-thon-8-cuebur-5x26-gia-1ty990-cach-trung-tam-dak-lak-6km-4856164.html
4806309,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",120.0,Sổ hồng/ Sổ đỏ,35.0,24.0,10,46,0944.723.177,https://i-batdongsan.com/-cho-thue-nha-nguyen-can-cau-giay-5-phong-ngu-gia-thue-16tr-0944723177-4806309.html
4748940,"Nhà ngõ, hẻm",Hà Nội," Quận Hai Bà Trưng, Hà Nội",55.0,Sổ hồng/ Sổ đỏ,11.0,4.0,8,13,0943.313.686,https://i-batdongsan.com/ban-nha-8-tang-thang-may-pho-ta-quang-buu-dien-tich-56-m2-gia-11-ty-4748940.html
4833078,"Nhà ngõ, hẻm",Đông Nam Bộ," Thành phố Biên Hoà, Đồng Nai",90.0,Giấy tờ hợp lệ,1.45,6.0,1,3,0978.366.635,https://i-batdongsan.com/ban-nha-moi-tai-khu-pho-3a-gan-phuong-trang-dai-bien-hoa-4833078.html
4674274,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",95.0,Sổ hồng/ Sổ đỏ,6.7,10.0,3,4,0909.822.610,https://i-batdongsan.com/nha-4-tang-hem-2-xe-tai-tranh-ngay-an-suong-song-hanh-quoc-lo-22-chi-6-ty-750--4674274.html
4764793,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",120.0,Sổ hồng/ Sổ đỏ,35.0,24.0,10,46,0944.723.177,https://i-batdongsan.com/dat-phong-tro-giu-cho-o-moi-tinh-tien-gan-dhhn-khtn-khxh-full-do-3tr9-4764793.html
4860018,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",133.0,Sổ hồng/ Sổ đỏ,48.0,30.0,6,6,0911.214.718,https://i-batdongsan.com/-ban-nha-mat-pho-vip-thai-ha-dong-da-133m2-6t-thang-may-mot-mat-ngo-chi-48-ty--4860018.html
4848732,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",101.0,Sổ hồng/ Sổ đỏ,7.05,8.0,2,4,0909.822.610,https://i-batdongsan.com/ban-nha-4-tang-hxh-ngang-be-the-5m-nguyen-anh-thu-chi-7-ty-nhinh--4848732.html
4377882,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",68.0,Sổ hồng/ Sổ đỏ,19.0,12.0,5,4,0944.723.177,https://i-batdongsan.com/phan-huy-chu-ngo-nong-o-to-do-cua-mat-tien-rong-35m-4-tang-can-goc-chi-4-4-ty--4377882.html
4863353,"Nhà ngõ, hẻm",Hà Nội," Quận Hà Đông, Hà Nội",30.0,Sổ hồng/ Sổ đỏ,3.9,1.0,5,4,0944.723.177,https://i-batdongsan.com/-ban-nha-le-hong-phong-dep-nhu-anh-5-tang-hon-3-ty-hang-mini-4863353.html
4267145,Nhà mặt tiền,Hà Nội," Quận Ba Đình, Hà Nội",31.0,Sổ hồng/ Sổ đỏ,21.5,30.0,7,6,0973.181.606,https://i-batdongsan.com/-ban-nha-mat-pho-kim-ma-31m2-7t-thang-may-kd-dinh-cao-chi-21-5-ty--4267145.html
4857377,"Nhà ngõ, hẻm",Tây Nguyên," Thành phố Buôn Ma Thuột, Đắk Lắk",82.0,Chưa Xác Định,2.5,0.0,0,0,0704.047.000,https://i-batdongsan.com/-ban-nha-me-dep-hem-nam-quoc-cang-p-thanh-nhat-6-2x17-gia-2ty5-4857377.html
