Vùng,Kinh độ,Vĩ độ
" Đường Hà Cầu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",20.9727028,105.7756135
" Đường Y Wang, Xã Ea Kao, Thành phố Buôn Ma Thuột, Đắk Lắk",20.9647003,105.7682132
" Phố Hoàng Cầu, Phường Cát Linh, Quận Đống Đa, Hà Nội",12.6376128,108.0284992
" Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh",21.0164832,105.8201307
" Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",10.8484421,106.6297793
" Phố Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",20.9749397,105.7783187
" Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",21.0083419,105.831237
" Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",21.0181428,105.7906758
" Xã Cư Êbur, Thành phố Buôn Ma Thuột, Đắk Lắk",10.8100767,106.623106
" Đường 19 tháng 5, Phường Văn Quán, Quận Hà Đông, Hà Nội",12.714809,107.9322583
" Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",20.9757446,105.7867951
" Đường Bùi Trọng Nghĩa, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai",21.0034828,105.8452052
" Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",10.982414,106.8557889
" Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",10.8553477,106.604675
" Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",20.9660352,105.755695
" Đường Nguyễn Ánh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",21.0129932,105.8174391
" Đường Lê Hồng Phong, Phường Hà Cầu, Quận Hà Đông, Hà Nội",10.8735241,106.6189339
" Đường Lê Hồng Phong, Phường Hà Cầu, Quận Hà Đông, Hà Nội",20.9672227,105.7732804
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",20.9672227,105.7732804
" Đường Nam Quốc Can, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0315624,105.8207174
" Đường Yên Lãng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",12.6791641,108.0239752
" Đường Nguyễn Thị Minh Khai, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Phố Quán Sứ, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Đường Số 6, Phường Bình Chiểu, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Đường Trần Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",21.0111263,105.8138256
" Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Đường Lương Khánh Thiện, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",21.0111263,105.8138256
" Đường Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",21.0111263,105.8138256
" Đường Xô Viết Nghệ Tĩnh, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường 19 tháng 5, Phường Văn Quán, Quận Hà Đông, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Tri Phương, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Cầu Diễn, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",21.0111263,105.8138256
" Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Hồ Chí Minh",21.0111263,105.8138256
" Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường Giải Phóng, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Phố Hai Bà Trưng, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường Giải Phóng, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",21.0111263,105.8138256
" Đường Xuân La, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",21.0111263,105.8138256
" Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường Lương Khánh Thiện, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",21.0111263,105.8138256
" Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Đường Săm Brăm, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Nguyễn Phong Sắc, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",21.0111263,105.8138256
" Đường Hà Huy Tập, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Phố Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",21.0111263,105.8138256
" Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội",21.0111263,105.8138256
" Xã Vân Canh, Huyện Hoài Đức, Hà Nội",21.0111263,105.8138256
" Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Lê Văn Lương, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",21.0111263,105.8138256
" Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Thượng Đình, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Từ Liêm Đường Cầu Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",21.0111263,105.8138256
" Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",21.0111263,105.8138256
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",21.0111263,105.8138256
" Phố Tràng Thi, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Phố Thuốc Bắc, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội",21.0111263,105.8138256
" Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Phố Ngõ Trạm, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Xã Cư Êbur, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường số 30, Phường 6, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường A1, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",21.0111263,105.8138256
" Đường Nguyễn Văn Cừ, Phường Tân Lập, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Tân Thới Nhất 1, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",21.0111263,105.8138256
" Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Hoa Lâm, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Phố Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Vạn Xuân, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Số 13, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Đường Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Phố Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",21.0111263,105.8138256
" Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",21.0111263,105.8138256
" Phố Ngụy Như Kon Tum, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Đường Trần Cao Vân, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",21.0111263,105.8138256
" Đường Thanh Am, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Đường B3, Xã Cư Êbur, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Thanh Am, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Yên Lãng, Phường Trung Liệt, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Thị Định, Phường Thành Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Mai Thị Lựu, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh",21.0111263,105.8138256
" Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",21.0111263,105.8138256
" Xã Ea Tu, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Lê Đại Hành, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",21.0111263,105.8138256
" Đường Hà Huy Tập, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0111263,105.8138256
" Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Số 7, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",21.0111263,105.8138256
" Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Lê Lợi, Phường 4, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",21.0111263,105.8138256
" Phố Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Đường Số 8, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Thùy Vân, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",21.0111263,105.8138256
" Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Bưởi, Phường Cống Vị, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Phố Nguyễn Gia Thiều, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Phố Lương Ngọc Quyến, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Đường Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Phố Lê Thanh Nghị, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",21.0111263,105.8138256
" Đường Lạc Nghiệp, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",21.0111263,105.8138256
" Phố Tống Duy Tân, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Đường An Trai, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",21.0111263,105.8138256
" Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Đặng Vũ Hỷ, Phường Thượng Thanh, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Phố Giảng Võ, Phường Cát Linh, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Phố Nguyễn Thái Học, Phường Kim Mã, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Phố Phùng Hưng, Phường Hàng Mã, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Phố Mai Hắc Đế, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",21.0111263,105.8138256
" Đường Thanh Am, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Xã Trung Thành, Thị xã Phổ Yên, Thái Nguyên",21.0111263,105.8138256
" Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Lạc Long Quân, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",21.0111263,105.8138256
" Phố Trúc Bạch, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",21.0111263,105.8138256
" Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",21.0111263,105.8138256
" Đường Hàng Giầy, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",21.0111263,105.8138256
" Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Phường Trung Liệt, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Đường Kha Vạn Cân, Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh",21.0111263,105.8138256
" Phố Cự Lộc, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",21.0111263,105.8138256
" Phố Nguyễn Thị Thập, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Nguyễn Dữ, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",21.0111263,105.8138256
" Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Đường Vũ Phạm Hàm, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Hoa Lâm, Phường Đức Giang, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Đường Lâm Du Bồ Đề, Phường Long Biên, Quận Long Biên, Hà Nội",21.0111263,105.8138256
" Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",21.0111263,105.8138256
" Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Phố Ngụy Như Kon Tum, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",21.0111263,105.8138256
" Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",21.0111263,105.8138256
" Phố Tô Hiệu, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",21.0111263,105.8138256
" Đường Lê Văn Lương, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",21.0111263,105.8138256
" Phố Ái Mộ, Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0111263,105.8138256
